nohup: ignoring input
GPU: True
Data set: LandUse-21
MissRate: [0.1, 0.3, 0.5, 0.7]
shuffle
Epoch 2 Loss:0.004552
Epoch 3 Loss:0.004457
Epoch 4 Loss:0.004408
Epoch 5 Loss:0.004405
Epoch 6 Loss:0.004356
Epoch 7 Loss:0.004379
Epoch 8 Loss:0.004346
Epoch 9 Loss:0.004306
Epoch 10 Loss:0.004356
Epoch 11 Loss:0.004341
Epoch 12 Loss:0.004336
Epoch 13 Loss:0.004295
Epoch 14 Loss:0.004275
Epoch 15 Loss:0.004271
Epoch 16 Loss:0.004268
Epoch 17 Loss:0.004247
Epoch 18 Loss:0.004278
Epoch 19 Loss:0.004231
Epoch 20 Loss:0.004206
Epoch 21 Loss:0.427630
Epoch 22 Loss:0.426320
Epoch 23 Loss:0.423384
Epoch 24 Loss:0.425713
Epoch 25 Loss:0.421094
Epoch 26 Loss:0.417278
Epoch 27 Loss:0.418396
Epoch 28 Loss:0.415777
Epoch 29 Loss:0.418958
Epoch 30 Loss:0.413716
Epoch 31 Loss:0.411847
Epoch 32 Loss:0.409877
Epoch 33 Loss:0.408388
Epoch 34 Loss:0.409126
Epoch 35 Loss:0.409911
Epoch 36 Loss:0.407882
Epoch 37 Loss:0.406751
Epoch 38 Loss:0.404934
Epoch 39 Loss:0.404641
Epoch 40 Loss:0.408897
Epoch 41 Loss:0.398788
Epoch 42 Loss:0.402659
Epoch 43 Loss:0.403269
Epoch 44 Loss:0.401743
Epoch 45 Loss:0.401990
Epoch 46 Loss:0.402905
Epoch 47 Loss:0.397858
Epoch 48 Loss:0.398824
Epoch 49 Loss:0.397793
Epoch 50 Loss:0.398503
Epoch 51 Loss:0.395913
Epoch 52 Loss:0.397748
Epoch 53 Loss:0.396225
Epoch 54 Loss:0.395329
Epoch 55 Loss:0.394318
Epoch 56 Loss:0.395918
Epoch 57 Loss:0.393803
Epoch 58 Loss:0.392220
Epoch 59 Loss:0.394530
Epoch 60 Loss:0.393568
Epoch 61 Loss:0.388861
Epoch 62 Loss:0.387293
Epoch 63 Loss:0.386182
Epoch 64 Loss:0.386340
Epoch 65 Loss:0.390738
Epoch 66 Loss:0.389342
Epoch 67 Loss:0.388503
Epoch 68 Loss:0.386089
Epoch 69 Loss:0.384750
Epoch 70 Loss:0.386289
Epoch 71 Loss:0.383208
Epoch 72 Loss:0.384828
Epoch 73 Loss:0.382163
Epoch 74 Loss:0.380714
Epoch 75 Loss:0.383055
Epoch 76 Loss:0.382649
Epoch 77 Loss:0.378682
Epoch 78 Loss:0.378731
Epoch 79 Loss:0.377592
Epoch 80 Loss:0.378853
Epoch 81 Loss:0.377532
Epoch 82 Loss:0.374565
Epoch 83 Loss:0.377630
Epoch 84 Loss:0.379515
Epoch 85 Loss:0.373794
Epoch 86 Loss:0.375077
Epoch 87 Loss:0.373770
Epoch 88 Loss:0.375941
Epoch 89 Loss:0.371313
Epoch 90 Loss:0.371328
Epoch 91 Loss:0.374234
Epoch 92 Loss:0.370676
Epoch 93 Loss:0.371054
Epoch 94 Loss:0.369868
Epoch 95 Loss:0.367779
Epoch 96 Loss:0.368546
Epoch 97 Loss:0.370582
Epoch 98 Loss:0.368235
Epoch 99 Loss:0.370947
Epoch 100 Loss:0.367846
Epoch 101 Loss:0.368298
Epoch 102 Loss:0.368378
Epoch 103 Loss:0.361060
Epoch 104 Loss:0.359629
Epoch 105 Loss:0.364101
Epoch 106 Loss:0.364884
Epoch 107 Loss:0.362469
Epoch 108 Loss:0.361317
Epoch 109 Loss:0.361007
Epoch 110 Loss:0.360946
Epoch 111 Loss:0.362974
Epoch 112 Loss:0.358915
Epoch 113 Loss:0.359497
Epoch 114 Loss:0.357273
Epoch 115 Loss:0.355853
Epoch 116 Loss:0.357352
Epoch 117 Loss:0.356069
Epoch 118 Loss:0.356157
Epoch 119 Loss:0.353225
Epoch 120 Loss:0.356198
---------------------------Result of LandUse-21----------------------------
------------------------- MissRate = 0.70--------------------
K-meansClustering: ACC = 0.2829 NMI = 0.3113 ARI = 0.1202
Clustering: ACC = 0.2233 NMI = 0.2327 ARI = 0.0896 PUR = 0.2343
------------------------Training over------------------------
